team_number,team_name_short,city,region_key,lat,lon,group
13599,BruinBots,Burke,VA,38.7771321,-77.2754691,0
14575,Capital Bots,McLean,VA,38.9245311,-77.2101036,0
24163,Illuminate,Potomac,MD,39.0176122788997,-77.20855915151147,0
14691,Mechanical Mafia,Fairfax,VA,38.8463002664127,-77.30553371068244,0
22200,Power Potatoes,Fairfax,VA,38.84585993706679,-77.30713910426718,0
16598,Fairfax Roarbotics,Fairfax,VA,38.84549457488307,-77.30551394664671,0
8735,Mechanical Mustangs,Potomac,MD,39.017936,-77.2094542,0
5904,Cyber Pirates,Oakton,VA,38.8810678,-77.3008453,0
18381,RAM Eaters,Fairfax,VA,38.84580520900613,-77.30648121735676,0
23888,Frost Falcons,Fairfax,VA,38.847164666050475,-77.30701532354331,0
6341,Double 0 Ducks,Oakton,VA,38.88150731137824,-77.3018424174743,0
22761,TECH TIGERS,Fairfax,VA,38.8506152,-77.3005455,0
8535,Shark Bytes,Fairfax,VA,38.8462236,-77.3063733,0
22777,GFHS Redwolves,Woodbridge,VA,38.6581723,-77.2497049,0
6652,EHuskies,Oakton,VA,38.88043309700889,-77.29990706350495,0
19458,Equilibrium.exe,Potomac,MD,39.01869965435845,-77.20956859530756,0
23807,Clockstoppers512,Falls Church,VA,38.882334,-77.1710914,0
21929,Profound Pythons,Fairfax,VA,38.84661066021358,-77.30608833057282,0
24508,North Bethesda Phoenixes,Bethesda,MD,38.9846816,-77.0942447,0
9830,RobotLits,Clifton,VA,38.7802131,-77.3866868,0
17709,Bulldogs Tech,Potomac,MD,39.01736527927741,-77.20889742826786,0
226,Oakton Cougar Robotics 226,Vienna,VA,38.8776013,-77.2722884,0
17080,NewT.exe,Potomac,MD,39.01887386319545,-77.20880720572458,0
12718,Lions,Potomac,MD,39.0182873980069,-77.20974281136223,0
11804,Stick-Shift,Clifton,VA,38.78117493533637,-77.38679057859729,0
20337,Say Watt?,Reston,VA,38.9581695792123,-77.35748601937601,0
24179,Tech Tigers,Fairfax,VA,38.845930696696094,-77.30673216666155,0
21587,Orca Robotics,Potomac,MD,39.01882743115197,-77.21043694321052,0
3749,while(e()) {coyotes()},Springfield,VA,38.77885394701465,-77.18636793919283,0
21774,Supernova.exe,Potomac,MD,39.01737663498601,-77.20939554524433,0
369,Oakton Cougar Robotics 369,Vienna,VA,38.87812697966196,-77.27213789230711,0
23928,Double Quarter Pounders,Mc Lean,VA,38.9251522,-77.2075872,0
24159,Pixelmon,Oakton,VA,38.88123968939462,-77.30139449105522,0
24028,Predator-7.exe,Potomac,MD,39.01887317747606,-77.20979934800718,0
965,The League of Incompetent Gentlemen,Springfield,VA,38.7791227,-77.1861196,0
18264,TheElectronovas,Fairfax,VA,38.846001147774544,-77.30609843866269,0
22202,Infinity.exe,Rockville,MD,39.081499708980424,-77.15078907253474,1
13100,47 Beavers,Germantown,MD,39.181334,-77.266647,1
10001,RoboCavs Silver,Sykesville,MD,39.36537594833619,-76.96817959094926,1
8194,Digi-Gators,Fulton,MD,39.150937562988844,-76.92252963506202,1
7518,QO CouGears (JV),Gaithersburg,MD,39.140570753455265,-77.1932447360415,1
13463,Wildecats,Columbia,MD,39.2156213,-76.8582049,1
8479,RoboCavs Gold,Sykesville,MD,39.365992,-76.9688737,1
22565,Rbots,Rockville,MD,39.081155004883875,-77.15239400172587,1
19890,Distractors.exe,Clarksburg,MD,39.23092612726547,-77.25095477347936,1
10719,Termigators,Fulton,MD,39.151859430027656,-76.92227221001372,1
9450,Garlic Gang,Clarksburg,MD,39.23008986583842,-77.25112252598238,1
19434,Redstone.exe,Germantown,MD,39.18068506697684,-77.26661719554004,1
21814,Robots on Roids,Gaithersburg,MD,39.14005168846484,-77.1938007141974,1
17477,Kettle 2 the Mettle,Union Bridge,MD,39.5684767,-77.1814707,1
23840,Howard Dynamics,Clarksville,MD,39.206437230350716,-76.94222256272408,1
24999,Phoenix,Rockville,MD,39.081704066588685,-77.15107493141537,1
23263,The Prototypers,Clarksburg,MD,39.2305247951115,-77.25036432699287,1
16540,Crabotix,Sykesville,MD,39.36581553014291,-76.96898676376814,1
